SAN JOSE BUILDING ID,STREET,CITY,STATE,ZIP CODE,ASSESSOR PARCEL NUMBER,YEAR BUILT,PRIMARY PROPERTY TYPE,ASSESSOR GROSS FLOOR AREA (ft^2),REPORTED GROSS FLOOR AREA (ft^2),ANNUAL REPORTING YEAR,ANNUAL BENCHMARKING STATUS,ENERGY STAR SCORE,WEATHER NORMALIZED SITE ENERGY USE INTENSITY (kBTU/ft^2),WEATHER NORMALIZED SOURCE ENERGY USE INTENSITY (kBTU/ft^2),SITE ENERGY USE INTENSITY (kBTU/ft^2),SOURCE ENERGY USE INTENSITY (kBTU/ft^2),TOTAL ELECTRICITY USE (kWh),TOTAL NATURAL GAS USE (therms),INDIRECT GREENHOUSE GAS EMISSIONS (metric tons of CO2e),DIRECT GREENHOUSE GAS EMISSIONS (metric tons of CO2e),TOTAL GREENHOUSE GAS EMISSIONS (metric tons of CO2e),MUNICIPALLY SUPPLIED WATER INDOOR USE (kgal),MUNICIPALLY SUPPLIED WATER MIXED USE (kgal),MUNICIPALLY SUPPLIED WATER OUTDOOR USE (kgal),RECYCLED WATER INDOOR USE (kgal),RECYCLED WATER MIXED USE (kgal),RECYCLED WATER OUTDOOR USE (kgal),WELL WATER INDOOR USE (kgal),WELL WATER MIXED USE (kgal),WELL WATER OUTDOOR USE (kgal),OTHER WATER INDOOR USE (kgal),OTHER WATER MIXED USE (kgal),OTHER WATER OUTDOOR USE (kgal),TOTAL WATER USE (kgal),WATER USE INTENSITY (gal/ft^2),US EPA WATER SCORE
0001-0-00,1621 gold st,alviso,CA,95002,1503017,1972,medical office,25864,29874,2022,in compliance,100,30.4,63.4,30.7,62.9,153525.8,3938.8,,20.9,,,,,,,,,,,,,,753126.2,25210.09,
0002-0-00,175 nortech pkwy,san jose,CA,95134,1530081,1984,worship facility,45820,47860,2022,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0003-0-00,161 nortech pkwy,san jose,CA,95134,1530082,1996,worship facility,71800,71800,2022,in compliance,98,8.6,21.1,8.9,21.4,144739.6,1482.29042,,7.9,,,,,,,,,,,,,,1757.4,24.48,
0004-0-00,155 baytech dr,san jose,CA,95134,1530089,1992,manufacturing/industrial plant,28905,28000,2022,in compliance,,35.1,82.4,35.7,81.6,207000,2920.638449,,15.5,,107.7,,,,,,,,,,,,107.7,3.85,
0006-0-00,4620 fortran dr,san jose,CA,95134,1530091,1980,office,39760,39760,2022,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0007-0-00,150 nortech pkwy,san jose,CA,95134,1530092,1986,manufacturing/industrial plant,39950,39950,2022,exempt,,,,,,,,,,,,,,,,,,,,,,,,,
0008-0-00,170 baytech dr,san jose,CA,95134,1530099,1997,office,76799,76799,2022,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0008-1-00,180 baytech dr,san jose,CA,95134,1530099,1997,office,74012,74012,2022,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0009-0-00,150-160 baytech dr,san jose,CA,95134,1530100,2000,office,150000,150000,2022,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0010-0-00,4435 fortran dr,san jose,CA,95134,1530101,1986,worship facility,77805,77805,2022,in compliance,84,12.7,28.6,12.7,28.6,198648.9,3050.15629,,16.2,,,,,,,,,,,,,,225.1,2.91,
