SAN JOSE BUILDING ID,STREET,CITY,STATE,ZIP CODE,ASSESSOR PARCEL NUMBER,YEAR BUILT,PRIMARY PROPERTY TYPE,ASSESSOR GROSS FLOOR AREA (ft^2),REPORTED GROSS FLOOR AREA (ft^2),ANNUAL REPORTING YEAR,ANNUAL BENCHMARKING STATUS,BEYOND BENCHMARKING COMPLIANCE YEAR,BEYOND BENCHMARKING COMPLIANCE STATUS,ENERGY STAR SCORE,WEATHER NORMALIZED SITE ENERGY USE INTENSITY (kBTU/ft^2),WEATHER NORMALIZED SOURCE ENERGY USE INTENSITY (kBTU/ft^2),SITE ENERGY USE INTENSITY (kBTU/ft^2),SOURCE ENERGY USE INTENSITY (kBTU/ft^2),TOTAL ELECTRICITY USE (kWh),TOTAL NATURAL GAS USE (therms),INDIRECT GREENHOUSE GAS EMISSIONS (metric tons of CO2e),DIRECT GREENHOUSE GAS EMISSIONS (metric tons of CO2e),TOTAL GREENHOUSE GAS EMISSIONS (metric tons of CO2e),MUNICIPALLY SUPPLIED WATER INDOOR USE (kgal),MUNICIPALLY SUPPLIED WATER MIXED USE (kgal),MUNICIPALLY SUPPLIED WATER OUTDOOR USE (kgal),RECYCLED WATER INDOOR USE (kgal),RECYCLED WATER MIXED USE (kgal),RECYCLED WATER OUTDOOR USE (kgal),WELL WATER INDOOR USE (kgal),WELL WATER MIXED USE (kgal),WELL WATER OUTDOOR USE (kgal),OTHER WATER INDOOR USE (kgal),OTHER WATER MIXED USE (kgal),OTHER WATER OUTDOOR USE (kgal),TOTAL WATER USE (kgal),WATER USE INTENSITY (gal/ft^2),US EPA WATER SCORE
0001-0-00,1621 gold st,alviso,CA,95002,1503017,1972,medical office,25864,29874,2024,in compliance,,,100,31.4,63.7,32.9,65.3,153902.1,4575.1,37.2,24.3,61.5,,184,,,,,,,,,,,184,6.16,
0002-0-00,175 nortech pkwy,san jose,CA,95134,1530081,1984,worship facility,45820,47860,2024,in compliance,2024,not submitted,74,7.1,19.9,7.1,19.9,99908,,24.2,0,24.2,97,,0,,,,,,,,,,97,2.03,
0003-0-00,161 nortech pkwy,san jose,CA,95134,1530082,1996,worship facility,71800,71800,2024,in compliance,2024,compliant,78,17.3,40.9,18.9,43.7,287114.2,3781.5,69.5,20.1,89.6,,,,,955.4,,,,,,,,955.4,13.31,
0004-0-00,155 baytech dr,san jose,CA,95134,1530089,1992,manufacturing/industrial plant,28905,28000,2024,in compliance,,,,31,72.4,31.5,72,182830.5,2578.2,44.3,13.7,57.9,90.1,,,,,,,,,,,,90.1,3.22,
0008-0-00,170 baytech dr,san jose,CA,95134,1530099,1997,office,76799,76799,2024,in compliance,,,8,173.2,326.8,173.2,326.8,1863914,69419,451.1,368.7,819.8,,1082.6,,,,,,,,,,,1082.6,14.1,
0009-0-00,150-160 baytech dr,san jose,CA,95134,1530100,2000,office,150000,150000,2024,in compliance,,,44,89.9,178.8,89.9,178.8,2120224,62465.5,513.2,331.8,844.9,,2410.3,,,,,,,,,,,2410.3,16.07,
0010-0-00,4435 fortran dr,san jose,CA,95134,1530101,1986,worship facility,77805,77805,2024,in compliance,,,89,15.2,26.4,16.1,27.4,136200.2,7904.6,33,42,74.9,,6232.8,,,,,,,,,,,6232.8,80.11,
0011-0-00,4425 fortran dr,san jose,CA,95134,1530102,1986,office,76297,76319,2024,in compliance,2024,compliant,99,23.5,34.4,25.3,36.2,123988.3,15042.5,30,79.9,109.9,193.5,,,,,,,,,,,,193.5,2.54,
0012-0-00,4415 fortran dr,san jose,CA,95134,1530103,1986,worship facility,76567,76567,2024,in compliance,2024,not submitted,80,19.4,41.2,20.1,41.3,259945.4,6490.6,62.9,34.5,97.4,291.6,,,,,,,,,,,,291.6,3.81,
0013-0-00,4413 fortran dr,san jose,CA,95134,1530104,1986,worship facility,66368,66000,2024,in compliance,,,82,8,20.7,8,20.4,132265.9,798.3,32,4.2,36.3,134.1,,,,,,,,,,,,134.1,2.03,
0013-1-00,110 baytech dr,san jose,CA,95134,1530107,1997,office,55976,57976,2024,in compliance,,,55,73.7,145.6,77.1,147.9,650306,22514.1,157.4,119.6,277,,2823,,,,,,,,,,,2823,48.69,
0014-0-00,2160 gold st,alviso,CA,95002,1534081,1999,office,127124,127124,2024,in compliance,,,43,72.1,184.1,73.6,185.6,2306195,14910.5,558.2,79.2,637.4,,155,2098.2,,,,,,,,,,2253.1,17.72,
0015-0-00,2099 gold st,alviso,CA,95002,1534100,2001,office,22302,22000,2024,in compliance,2024,compliant,45,40.8,90.4,42.9,91.7,171857.6,3584,41.6,19,60.6,185.2,,155.4,,,,,,,,,,340.6,15.48,
0016-0-00,2131 gold st,alviso,CA,95002,1534101,2001,hotel,44316,54439,2024,in compliance,2024,compliant,93,31.9,68,31.6,67.2,310243,6603,75.1,35.1,110.2,2629,,,,,,,,,,,,2629,48.29,
0017-0-00,2100 gold st,alviso,CA,95002,1534120,1999,multifamily housing,70755,71169,2024,in compliance,,,95,29.2,53.2,29.2,53.2,267679,11680.6,64.8,62,126.8,,18.7,1174.6,,,,,,,,,,1193.3,16.77,
0018-0-00,2130 gold st,alviso,CA,95002,1534121,1999,office,52153,52142,2024,in compliance,,,58,62.7,120.8,66,124.2,479792.6,18045.8,116.1,95.9,212,,39.6,864.8,,,,,,,,,,904.4,17.35,
0019-0-00,2150 gold st,alviso,CA,95002,1534123,1999,office,52153,52214,2024,in compliance,,,71,46.9,97,49.4,99.7,417569.4,11566,101.1,61.4,162.5,,59,861.8,,,,,,,,,,920.8,17.63,
0020-0-00,2077 gold st,alviso,CA,95002,1534125,2007,financial office,24446,25000,2024,in compliance,,,79,82.4,143.3,89.3,150.5,237525.1,14218,57.5,75.5,133,0.4,,,,,6.3,,,,,,,6.6,0.27,
0025-0-00,4453 n 1st st,san jose,CA,95134,1539057,2018,office,184351,187660,2024,in compliance,,,96,36.5,37.3,36.5,37.3,1063350,32149.1,0,170.76,170.76,,156.3,,,,,,,,,,,156.3,0.83,
0026-0-00,4353 n 1st st,san jose,CA,95134,1539058,2016,office,184351,182717,2024,in compliance,,,63,72,124.9,72,124.9,1508479,80064.5,365.1,425.3,790.4,,515,,,,5009.8,,,,,,,5524.7,30.24,
0027-0-00,5093 disk dr,san jose,CA,95134,1544021,1990,other,168011,200405,2024,in compliance,,,,34.4,69.3,36.5,71.5,1112398,35260.4,269.2,187.3,456.5,439.8,,,,,3493.1,,,,,,,3932.8,19.62,
0028-0-00,5087 disk dr,san jose,CA,95134,1544026,1990,refrigerated warehouse,395200,178712,2024,in compliance,,,87,10,19.6,10.9,20.5,487504.5,18228.8,118,96.8,214.8,,156.1,,,,,,,,,,,156.1,0.49,
0029-0-00,5079 disk dr,san jose,CA,95134,1544026,2017,non-refrigerated warehouse,395200,259086,2024,in compliance,,,72,10.9,16.8,11.6,17.8,450694.3,39896.8,109.1,211.9,321,,1437.8,,,,502.4,,,,,,,1940.2,4.06,
0030-1-00,656 america center ct,alviso,CA,95002,1545013,2019,hotel,166340,166340,2024,in compliance,2024,compliant,92,52.9,105.9,53,106.1,1550204,35299.7,340.8,187.5,528.2,,2407.9,,,,,,,,,,,2407.9,14.48,
0031-0-00,510 america center court,san jose,CA,95002,1545048,2021,hotel,82360,92684,2024,in compliance,,,,51.2,102.4,51.6,102.8,755018.2,22031.4,182.7,117,299.8,,3900.3,,,,,,,,,,,3900.3,42.08,
0032-0-00,6001 america center dr,alviso,CA,95002,1545049,2009,office,212863,212863,2024,in compliance,,,100,20.1,40.3,21.4,41.6,683096.7,22183.3,165.3,117.8,283.2,40.1,,2628.2,,,,,,,,,,2668.3,12.54,
0033-0-00,6220 america center drive,san jose,CA,95002,1545051,2017,office,215834,220761,2024,in compliance,,,94,34.8,80.1,35,79.4,1575772,23475.7,381.4,124.7,506.1,795.6,,1191.8,,,,,,,,,,1987.3,9,
0034-0-00,6280 america center dr,alviso,CA,95002,1545052,2017,office,481246,220761,2024,in compliance,2024,compliant,77,82,182.6,82.6,181.8,3514620,62354.4,850.6,331.2,1181.8,1010.8,,1387.8,,,,,,,,,,2398.6,10.87,
0035-0-00,6201 america center dr,alviso,CA,95002,1545053,2009,office,213800,209212,2024,in compliance,2024,compliant,81,51.5,113.8,50.9,112.3,2062346,36195.6,499.1,192.3,691.4,1250.7,,2357.7,,,,,,,,,,3608.5,17.25,
0037-0-00,1900-1902 lakewood dr,san jose,CA,95132,9201016,1975,multifamily housing,140800,113629,2024,in compliance,,,99,29.9,46.3,31.6,48.1,284028.3,26162,68.7,139,207.7,,12134.2,,,,,,,,,,,12134.2,106.79,7
0038-0-00,1953 via reggio ct,san jose,CA,95132,9201018,1988,multifamily housing,37530,39290,2024,in compliance,,,100,4.3,7.7,4.3,7.7,20791.8,995.4,5,5.3,10.3,,2991.1,,,,,,,,,,,2991.1,76.13,19
0039-0-00,2155 morrill ave,san jose,CA,95132,9209010,1990,retail store,108268,108268,2024,in compliance,,,91,52.6,139.3,52.8,138.5,1504679,5880,364.2,31.2,395.4,1573.1,,,,,,,,,,,,1573.1,14.53,
0040-0-00,2115 morrill ave,san jose,CA,95132,9209011,1972,retail store,24340,24340,2024,in compliance,2024,not submitted,100,1.2,3.3,1.2,3.3,8495.7,,2.1,0,2.1,,179.5,,,,,,,,,,,179.5,7.38,
0041-0-00,2105 morrill ave,san jose,CA,95132,9209012,2000,retail store,20317,20317,2024,in compliance,2024,not submitted,24,77.7,214.8,76.8,211.7,446112,372,101,2,103,26.2,,,,,,,,,,,,26.2,1.29,
0045-0-00,450 holger way,san jose,CA,95134,9703129,1999,other,93210,98432,2024,in compliance,,,,175.6,372.3,178.1,372,3049957,71228.1,738.2,378.3,1116.5,365.2,,,,,1052.3,,,,,,,1417.6,14.4,
0046-0-00,400 holger way,san jose,CA,95134,9703130,2005,data center,76410,76410,2024,in compliance,,,84,822.1,1058.9,822.1,1058.9,2504058,542751.5,606.1,2882.8,3488.9,43,,1353.2,,,,,,,,,,1396.3,18.27,
0047-0-00,350 holger way,san jose,CA,95134,9703131,1999,office,96710,96502,2024,in compliance,,,32,111,239.5,111.8,237.8,1946444,41488.4,471.1,220.4,691.5,86.6,,0,,,79.3,,,,,,,165.9,1.72,
